zip_code,date,rent_usd,beds_baths,sqft,address,url
94133,2026-04-10 23:03:06,3150.0,1 Bed,,"2351 Powell St, San Francisco, CA 94133",https://www.apartments.com/northpoint-vistas-san-francisco-ca/edtq6hn/
94132,2026-04-10 23:03:12,3925.0,"2 Beds, 1 Bath",942.0,"3711 19th Ave, San Francisco, CA 94132",https://www.apartments.com/parkmerced-apartments-san-francisco-ca/26ht3d9/#mxe56gh-2-unit/
94109,2026-04-10 23:03:14,3150.0,1 Bed,,"1355 Post St, San Francisco, CA 94109",https://www.apartments.com/1355-post-street-apartments-san-francisco-ca/0xxqmd2/
94109,2026-04-10 23:03:17,2499.0,Studio,,"1346 Pine St, San Francisco, CA 94109",https://www.apartments.com/1346-pine-san-francisco-ca/4wp9mxk/
94103,2026-04-10 23:03:20,3775.0,2 Beds,,"1801 Mission St, San Francisco, CA 94103",https://www.apartments.com/1801-mission-st-san-francisco-ca/zk7w5fw/
94109,2026-04-10 23:03:23,1545.0,Studio,,"949 Post St, San Francisco, CA 94109",https://www.apartments.com/949-post-st-age-55-san-francisco-ca/3mmwhgd/
94115,2026-04-10 23:03:26,5500.0,1 Bed,,"2398 Pacific Ave, San Francisco, CA 94115",https://www.apartments.com/2398-pacific-ave-san-francisco-ca/4ktdbxk/
94158,2026-04-10 23:03:29,5397.0,"1 Bed, 1 Bath",758.0,"185 Channel St, San Francisco, CA 94158",https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/#c7gmdhd-2-unit/
94103,2026-04-10 23:03:32,3080.0,1 Bed,,"1863 Mission St, San Francisco, CA 94103",https://www.apartments.com/1863-mission-st-san-francisco-ca/076h360/
94103,2026-04-10 23:03:32,4000.0,2 Beds,,"1863 Mission St, San Francisco, CA 94103",https://www.apartments.com/1863-mission-st-san-francisco-ca/076h360/
94102,2026-04-10 23:03:39,2825.0,Studio,,"55 Oak St, San Francisco, CA 94102",https://www.apartments.com/the-oak-sf-san-francisco-ca/223v3e9/
94102,2026-04-10 23:03:39,3200.0,1 Bed,,"55 Oak St, San Francisco, CA 94102",https://www.apartments.com/the-oak-sf-san-francisco-ca/223v3e9/
94102,2026-04-10 23:03:39,4675.0,2 Beds+,,"55 Oak St, San Francisco, CA 94102",https://www.apartments.com/the-oak-sf-san-francisco-ca/223v3e9/
94103,2026-04-10 23:03:42,995.0,Studio,,"1080-1084 Folsom St, San Francisco, CA 94103",https://www.apartments.com/urbanests-1080-folsom-residences-san-francisco-ca/39nqndd/
94103,2026-04-10 23:03:42,1195.0,1 Bed,,"1080-1084 Folsom St, San Francisco, CA 94103",https://www.apartments.com/urbanests-1080-folsom-residences-san-francisco-ca/39nqndd/
94133,2026-04-10 23:03:43,995.0,Studio,,"371 Columbus Ave, San Francisco, CA 94133",https://www.apartments.com/urbanests-371-columbus-avenue-san-francisco-ca/ksghs2c/
94115,2026-04-10 23:03:46,2800.0,Studio,,"2400 Pacific Ave, San Francisco, CA 94115",https://www.apartments.com/2400-pacific-avenue-apartments-san-francisco-ca/bdnlhe9/
94115,2026-04-10 23:03:46,5000.0,1 Bed,,"2400 Pacific Ave, San Francisco, CA 94115",https://www.apartments.com/2400-pacific-avenue-apartments-san-francisco-ca/bdnlhe9/
94109,2026-04-10 23:03:49,1695.0,Studio,,"1156 Sutter St, San Francisco, CA 94109",https://www.apartments.com/sutter-street-apartments-san-francisco-ca/tv5x5db/
94109,2026-04-10 23:03:49,1995.0,1 Bed,,"1156 Sutter St, San Francisco, CA 94109",https://www.apartments.com/sutter-street-apartments-san-francisco-ca/tv5x5db/
94103,2026-04-10 23:03:53,595.0,Studio,,"221 7th St, San Francisco, CA 94103",https://www.apartments.com/urbanests-221-7th-st-residences-san-francisco-ca/169n256/
94108,2026-04-10 23:03:56,2000.0,Studio,,"1200 Sacramento St, San Francisco, CA 94108",https://www.apartments.com/mark-hopkins-san-francisco-ca/r8l9h01/
94103,2026-04-10 23:04:02,3200.0,"1 Bed, 1 Bath",5526.0,,https://www.apartments.com/14-isis-st-san-francisco-ca-unit-4/3g0pk3f/
94102,2026-04-10 23:04:08,5881.0,"2 Beds, 2 Baths",979.0,,https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/#q6wvq7x-2-unit/
94107,2026-04-10 23:04:43,4470.0,1 Bed,,,https://www.apartments.com/900-folsom-st-san-francisco-ca-unit-si-fl8-id272/h00ez40/
94103,2026-04-10 23:04:47,3620.0,Studio,,,https://www.apartments.com/18-10th-st-san-francisco-ca-unit-si-fl14-id397/c7wd01d/
94102,2026-04-10 23:04:53,7540.0,2 Beds,,,https://www.apartments.com/100-van-ness-ave-san-francisco-ca-unit-si-fl12-id1478/9hdz187/
