title,pricing,beds_baths,address,amenities,url,scraped_at
"Isle House 39 Bruton St, San Francisco, CA 94130","1 Bed $3,862+ 2 Beds $4,487+ 3 Beds $7,642","1 Bed $3,862+","39 Bruton St, San Francisco, CA 94130",Pets Allowed Fitness Center In Unit Washer & Dryer High-Speed Internet Controlled Access Concierge Rooftop Deck,https://www.apartments.com/isle-house-san-francisco-ca/yp192jv/,
"Parkmerced Apartments 3711 19th Ave, San Francisco, CA 94132","Studio $2,240 1 Bed $2,550+ 2 Beds+ $2,995+","Studio $2,240","3711 19th Ave, San Francisco, CA 94132",Fitness Center Clubhouse Maintenance on site Business Center Elevator,https://www.apartments.com/parkmerced-apartments-san-francisco-ca/26ht3d9/,
"Channel Mission Bay 185 Channel St, San Francisco, CA 94158","Studio $3,860+ 1 Bed $4,623+ 2 Beds $6,796+","Studio $3,860+","185 Channel St, San Francisco, CA 94158",Pets Allowed Fitness Center Pool Kitchen In Unit Washer & Dryer Walk-In Closets,https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/,
"The Civic 101-103 Polk St, San Francisco, CA 94102","Studio $2,997+ 1 Bed $3,285+ 2 Beds $4,253+","Studio $2,997+","101-103 Polk St, San Francisco, CA 94102",Pets Allowed Fitness Center Dishwasher Refrigerator Kitchen In Unit Washer & Dryer Walk-In Closets,https://www.apartments.com/the-civic-san-francisco-ca/32sh4lf/,
"150 Van Ness 150 Van Ness Ave, San Francisco, CA 94102","Studio $3,200 1 Bed $3,200+ 2 Beds+ $4,100+","Studio $3,200","150 Van Ness Ave, San Francisco, CA 94102",Pets Allowed Fitness Center Pool Dishwasher Refrigerator Kitchen In Unit Washer & Dryer,https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,
"HQ 1532 Harrison St, San Francisco, CA 94103","Studio $2,723+ 2 Beds $4,235+","Studio $2,723+","1532 Harrison St, San Francisco, CA 94103",Pets Allowed Fitness Center Dishwasher Kitchen In Unit Washer & Dryer Balcony Range,https://www.apartments.com/hq-san-francisco-ca/x4k2dsm/,
"TL Residences 361 Turk St, San Francisco, CA 94102","Studio $1,695+","Studio $1,695+","361 Turk St, San Francisco, CA 94102",Pets Allowed Fitness Center Clubhouse Stainless Steel Appliances Controlled Access Rooftop Deck Smoke Free,https://www.apartments.com/tl-residences-san-francisco-ca/bpkgzbb/,
"Hanover Soma West 1140 Harrison St, San Francisco, CA 94103","Studio $3,414+ 1 Bed $3,853+ 2 Beds+ $4,249+","Studio $3,414+","1140 Harrison St, San Francisco, CA 94103",Pets Allowed Pool Dishwasher Refrigerator Kitchen In Unit Washer & Dryer,https://www.apartments.com/hanover-soma-west-san-francisco-ca/49rn57j/,
"145 Leavenworth St 145 Leavenworth St, San Francisco, CA 94102","Studio $1,695+","Studio $1,695+","145 Leavenworth St, San Francisco, CA 94102",Pets Allowed Fitness Center Refrigerator Kitchen Heat Tub / Shower Stainless Steel Appliances,https://www.apartments.com/145-leavenworth-st-san-francisco-ca/x1sl86m/,
"Lakewood Apartments At Lake Merced 515 John Muir Dr, San Francisco, CA 94132","Studio $2,328 1 Bed $2,549+ 2 Beds $3,966+","Studio $2,328","515 John Muir Dr, San Francisco, CA 94132",Fitness Center Pool Dishwasher Refrigerator Kitchen Walk-In Closets,https://www.apartments.com/lakewood-apartments-at-lake-merced-san-francisco-ca/wzzsn3h/,
