title,beds_baths,pricing,address,zip_code,url,scraped_at
"Isle House 39 Bruton St, San Francisco, CA 94130",1 Bed,"$3,862+","39 Bruton St, San Francisco, CA 94130",94130,https://www.apartments.com/isle-house-san-francisco-ca/yp192jv/,
"Isle House 39 Bruton St, San Francisco, CA 94130",2 Beds,"$4,487+","39 Bruton St, San Francisco, CA 94130",94130,https://www.apartments.com/isle-house-san-francisco-ca/yp192jv/,
"Isle House 39 Bruton St, San Francisco, CA 94130",3 Beds,"$7,642","39 Bruton St, San Francisco, CA 94130",94130,https://www.apartments.com/isle-house-san-francisco-ca/yp192jv/,
"Parkmerced Apartments 3711 19th Ave, San Francisco, CA 94132",Studio,"$2,240","3711 19th Ave, San Francisco, CA 94132",94132,https://www.apartments.com/parkmerced-apartments-san-francisco-ca/26ht3d9/,
"Parkmerced Apartments 3711 19th Ave, San Francisco, CA 94132",1 Bed,"$2,550+","3711 19th Ave, San Francisco, CA 94132",94132,https://www.apartments.com/parkmerced-apartments-san-francisco-ca/26ht3d9/,
"Parkmerced Apartments 3711 19th Ave, San Francisco, CA 94132",2 Beds+,"$2,995+","3711 19th Ave, San Francisco, CA 94132",94132,https://www.apartments.com/parkmerced-apartments-san-francisco-ca/26ht3d9/,
"Channel Mission Bay 185 Channel St, San Francisco, CA 94158",Studio,"$3,860+","185 Channel St, San Francisco, CA 94158",94158,https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/,
"Channel Mission Bay 185 Channel St, San Francisco, CA 94158",1 Bed,"$4,623+","185 Channel St, San Francisco, CA 94158",94158,https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/,
"Channel Mission Bay 185 Channel St, San Francisco, CA 94158",2 Beds,"$6,796+","185 Channel St, San Francisco, CA 94158",94158,https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/,
"The Civic 101-103 Polk St, San Francisco, CA 94102",Studio,"$2,997+","101-103 Polk St, San Francisco, CA 94102",94102,https://www.apartments.com/the-civic-san-francisco-ca/32sh4lf/,
"The Civic 101-103 Polk St, San Francisco, CA 94102",1 Bed,"$3,285+","101-103 Polk St, San Francisco, CA 94102",94102,https://www.apartments.com/the-civic-san-francisco-ca/32sh4lf/,
"The Civic 101-103 Polk St, San Francisco, CA 94102",2 Beds,"$4,253+","101-103 Polk St, San Francisco, CA 94102",94102,https://www.apartments.com/the-civic-san-francisco-ca/32sh4lf/,
"150 Van Ness 150 Van Ness Ave, San Francisco, CA 94102",Studio,"$3,200","150 Van Ness Ave, San Francisco, CA 94102",94102,https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,
"150 Van Ness 150 Van Ness Ave, San Francisco, CA 94102",1 Bed,"$3,200+","150 Van Ness Ave, San Francisco, CA 94102",94102,https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,
"150 Van Ness 150 Van Ness Ave, San Francisco, CA 94102",2 Beds+,"$4,100+","150 Van Ness Ave, San Francisco, CA 94102",94102,https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,
"HQ 1532 Harrison St, San Francisco, CA 94103",Studio,"$2,723+","1532 Harrison St, San Francisco, CA 94103",94103,https://www.apartments.com/hq-san-francisco-ca/x4k2dsm/,
"HQ 1532 Harrison St, San Francisco, CA 94103",2 Beds,"$4,235+","1532 Harrison St, San Francisco, CA 94103",94103,https://www.apartments.com/hq-san-francisco-ca/x4k2dsm/,
"TL Residences 361 Turk St, San Francisco, CA 94102",Studio,"$1,695+","361 Turk St, San Francisco, CA 94102",94102,https://www.apartments.com/tl-residences-san-francisco-ca/bpkgzbb/,
"Hanover Soma West 1140 Harrison St, San Francisco, CA 94103",Studio,"$3,414+","1140 Harrison St, San Francisco, CA 94103",94103,https://www.apartments.com/hanover-soma-west-san-francisco-ca/49rn57j/,
"Hanover Soma West 1140 Harrison St, San Francisco, CA 94103",1 Bed,"$3,853+","1140 Harrison St, San Francisco, CA 94103",94103,https://www.apartments.com/hanover-soma-west-san-francisco-ca/49rn57j/,
"Hanover Soma West 1140 Harrison St, San Francisco, CA 94103",2 Beds+,"$4,249+","1140 Harrison St, San Francisco, CA 94103",94103,https://www.apartments.com/hanover-soma-west-san-francisco-ca/49rn57j/,
