title,pricing,beds_baths,address,amenities,url,scraped_at
Tastefully designed 1 Bed 1 Bath modern home,$895,,"Hillsborough, CA",,https://sfbay.craigslist.org/sfc/apa/d/burlingame-tastefully-designed-bed-bath/7927206341.html,2026-04-12 05:22:44 UTC
Partly furnished Detached ADU,$850,,"Los Gatos, CA",,https://sfbay.craigslist.org/sfc/apa/d/los-gatos-partly-furnished-detached-adu/7927206336.html,2026-04-12 05:22:44 UTC
"Renovated 2BR/2BA w/ Bonus Room, Garage & W/D Included!","$1,800",,San Francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-2br-2ba-bonus/7927206252.html,2026-04-12 05:22:44 UTC
Charming 1BR in Prime Potrero Hill – Walkable & Convenient,"$1,750",,San Francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-1br-in-prime/7927206247.html,2026-04-12 05:22:44 UTC
Fully renovated historic 1 br apartment house located on quiet street,"$1,000",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-renovated-historic/7927204079.html,2026-04-12 05:22:44 UTC
"""Modern 1 bedroom home located in Oakland, CA""",$900,,"2907 Magnolia St, Oakland, CA",,https://sfbay.craigslist.org/sfc/apa/d/emeryville-modern-bedroom-home-located/7927201397.html,2026-04-12 05:22:44 UTC
"""Newly renovated ADU for rent""",$850,,"1324 Paloma Ave, Burlingame, CA",,https://sfbay.craigslist.org/sfc/apa/d/burlingame-newly-renovated-adu-for-rent/7927201404.html,2026-04-12 05:22:44 UTC
Massive Flat w/All New Finishes w/ A Master Bedroom,"$5,999",,richmond / seacliff,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-massive-flat-all-new/7927202501.html,2026-04-12 05:22:44 UTC
"Now Showing, Pets Welcome, 360 View Rooftop Deck, Pet Park","$4,379",,Mid-Market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-showing-pets-welcome/7927202376.html,2026-04-12 05:22:44 UTC
Located in the historic heart of Haight & Ashbury!,"$1,000",,"San Francisco, CA",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-located-in-the-historic/7927198132.html,2026-04-12 05:22:44 UTC
4430 California Street #5 - Freshly painted 2/1 - close to all,"$2,700",,inner richmond,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4430-california-street/7926564606.html,2026-04-12 05:22:44 UTC
SRO in prime SF location SUNDAY,"$1,250",,nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sro-in-prime-sf-location/7927199253.html,2026-04-12 05:22:44 UTC
3 br house with a deck near BART and restaurants,"$4,800",,Sunnyside,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-house-with-deck-near/7926675109.html,2026-04-12 05:22:44 UTC
Stylish Loft-Style Live/work space in the Heart of Downtown Davis,"$1,950",,"Davis, California",,https://sfbay.craigslist.org/sfc/apa/d/davis-stylish-loft-style-live-work/7924365263.html,2026-04-12 05:22:44 UTC
Upper Floor Creative (Residence) with AGA Range Yard Patio & Fireplace,"$4,597",,Noe Valley,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-upper-floor-creative/7927195582.html,2026-04-12 05:22:44 UTC
Studio on Mission and 17th St,"$1,950",,mission district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-on-mission-and/7927193837.html,2026-04-12 05:22:44 UTC
1900 Era Wood Frame (Victorian) Residence w/Den & In-Unit washer/dryer,"$4,266",,Noe Valley,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1900-era-wood-frame/7927192276.html,2026-04-12 05:22:44 UTC
140 20th Ave #106 - Lovely 2x1 - Updated & New - WD in Unit - Pets OK,"$4,275",,laurel hts / presidio,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-th-ave-lovely-2x1-updated/7927188645.html,2026-04-12 05:22:44 UTC
"Pet Park, Expansive Windows w/ City Views, Gated, EV Charging","$4,379",,Mid-Market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-park-expansive/7927188091.html,2026-04-12 05:22:44 UTC
Convenient studio downtown location,"$2,195",,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-convenient-studio/7922499711.html,2026-04-12 05:22:44 UTC
Cozy Studio Just One block from Van Ness Avenue!,"$2,245",,Polk Gulch,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cozy-studio-just-one/7927186531.html,2026-04-12 05:22:44 UTC
LG Balcony! Sunny Master Bedroom w/2nd Jr. RM Great for Office Space!,"$4,999",,hayes valley,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lg-balcony-sunny-master/7927185465.html,2026-04-12 05:22:44 UTC
Really Nob Hill,"$1,590",,nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-really-nob-hill/7927184996.html,2026-04-12 05:22:44 UTC
"Iconic Art Deco Living in coveted Pacific Heights. Prkg, elevtr, dk","$6,495",,pacific heights,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-iconic-art-deco-living-in/7923099557.html,2026-04-12 05:22:44 UTC
"Clay/Taylor lar 1 bd, hwd flr, liv rm w views, top floor, nr trans","$3,500",,nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-clay-taylor-lar-bd-hwd/7927182974.html,2026-04-12 05:22:44 UTC
"Effortless Living: 2 BR w/ EV Charging, Bike Storage & More","$4,386",,ingleside / SFSU / CCSF,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-effortless-living-br-ev/7927178147.html,2026-04-12 05:22:44 UTC
Classic Art Deco Studio Above Van Ness Ave Includes Utilities,"$2,395",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-classic-art-deco-studio/7926509235.html,2026-04-12 05:22:44 UTC
"Stainless Steel Appliances, Cable Ready, Refrigerator",$0,,potrero hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stainless-steel/7927179903.html,2026-04-12 05:22:44 UTC
Little Italy VIBES!! Starting at 920,$920,,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-little-italy-vibes/7921410007.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Experience Convenience: Laundry on Every Floor,"$2,951",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-experience/7927179615.html,2026-04-12 05:22:44 UTC
"Concierge, Computer Nooks, Track Lighting",$0,,portola district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-concierge-computer-nooks/7927179471.html,2026-04-12 05:22:44 UTC
